team,scorer,assist1,assist2
VAN,B.RITCHIE,R.RYPIEN,
VAN,A.BURROWS,K.BIEKSA,R.KESLER
VAN,W.MITCHELL,T.LINDEN,D.SEDIN
VAN,R.KESLER,H.SEDIN,M.NASLUND
VAN,S.SALO,H.SEDIN,K.BIEKSA
VAN,M.NASLUND,D.SEDIN,K.BIEKSA
VAN,T.LINDEN,B.RITCHIE,
VAN,T.LINDEN,M.WEAVER,H.SEDIN
VAN,M.PETTINGER,R.SHANNON,T.PYATT
VAN,B.ISBISTER,R.KESLER,K.BIEKSA
VAN,D.SEDIN,H.SEDIN,K.BIEKSA
VAN,T.PYATT,H.SEDIN,M.NASLUND
VAN,S.SALO,A.BURROWS,D.SEDIN
VAN,M.NASLUND,A.EDLER,B.MORRISON
VAN,D.SEDIN,H.SEDIN,W.MITCHELL
VAN,S.SALO,D.SEDIN,H.SEDIN
VAN,D.SEDIN,,
VAN,M.PETTINGER,,
VAN,T.PYATT,R.SHANNON,H.SEDIN
VAN,T.LINDEN,S.SALO,
VAN,H.SEDIN,D.SEDIN,S.SALO
VAN,T.PYATT,K.BIEKSA,S.SALO
VAN,H.SEDIN,D.SEDIN,K.BIEKSA
VAN,M.PETTINGER,M.NASLUND,B.MORRISON
VAN,R.KESLER,B.MORRISON,A.EDLER
VAN,M.NASLUND,M.PETTINGER,
VAN,B.MORRISON,M.NASLUND,M.PETTINGER
VAN,M.RAYMOND,B.MORRISON,
VAN,R.KESLER,A.BURROWS,M.OHLUND
VAN,R.KESLER,W.MITCHELL,A.BURROWS
VAN,M.OHLUND,M.NASLUND,T.PYATT
VAN,A.BURROWS,T.PYATT,R.KESLER
VAN,B.ISBISTER,A.BURROWS,R.KESLER
VAN,H.SEDIN,,
VAN,A.BURROWS,,
VAN,A.EDLER,S.SALO,D.SEDIN
VAN,M.PETTINGER,S.SALO,A.BURROWS
VAN,K.BIEKSA,D.SEDIN,H.SEDIN
VAN,M.RAYMOND,,
VAN,R.SHANNON,S.SALO,D.SEDIN
VAN,R.SHANNON,S.SALO,H.SEDIN
VAN,R.KESLER,A.BURROWS,
VAN,R.SHANNON,T.LINDEN,T.PYATT
VAN,S.SALO,M.OHLUND,
VAN,M.RAYMOND,R.SHANNON,A.EDLER
VAN,A.BURROWS,T.PYATT,W.MITCHELL
VAN,A.EDLER,M.OHLUND,D.SEDIN
VAN,S.SALO,H.SEDIN,D.SEDIN
VAN,R.KESLER,,
VAN,R.KESLER,W.MITCHELL,
