team,scorer,assist1,assist2
ANA,C.KUNITZ,T.SELANNE,S.NIEDERMAYER
ANA,B.RYAN,R.GETZLAF,T.BERTUZZI
ANA,J.DIPENTA,K.HUSKINS,B.RYAN
ANA,T.SELANNE,,
ANA,R.GETZLAF,B.RYAN,
ANA,T.SELANNE,T.BERTUZZI,R.GETZLAF
ANA,M.SCHNEIDER,R.GETZLAF,S.NIEDERMAYER
ANA,M.SCHNEIDER,R.GETZLAF,T.SELANNE
ANA,S.NIEDERMAYER,M.SCHNEIDER,B.RYAN
ANA,B.RYAN,M.BERGERON,
ANA,T.SELANNE,T.BERTUZZI,
ANA,T.SELANNE,D.WEIGHT,T.BERTUZZI
ANA,T.MARCHANT,C.KUNITZ,S.NIEDERMAYER
ANA,S.NIEDERMAYER,T.SELANNE,R.GETZLAF
ANA,T.BERTUZZI,R.GETZLAF,T.SELANNE
ANA,M.SCHNEIDER,T.SELANNE,K.HUSKINS
ANA,T.SELANNE,M.SCHNEIDER,S.NIEDERMAYER
ANA,R.NIEDERMAYER,,
ANA,R.NIEDERMAYER,T.MOEN,S.PAHLSSON
ANA,R.GETZLAF,S.PAHLSSON,M.SCHNEIDER
ANA,T.MARCHANT,C.KUNITZ,J.HILLER
ANA,T.MOEN,T.MARCHANT,S.ODONNELL
ANA,R.NIEDERMAYER,T.MOEN,S.PAHLSSON
ANA,D.WEIGHT,T.SELANNE,R.GETZLAF
ANA,T.MARCHANT,T.BERTUZZI,D.WEIGHT
ANA,R.GETZLAF,C.KUNITZ,S.PAHLSSON
ANA,T.MARCHANT,D.WEIGHT,T.BERTUZZI
ANA,C.KUNITZ,R.GETZLAF,K.HUSKINS
ANA,S.PAHLSSON,S.NIEDERMAYER,R.NIEDERMAYER
ANA,T.BERTUZZI,R.GETZLAF,C.PERRY
ANA,C.PERRY,S.NIEDERMAYER,D.WEIGHT
ANA,S.NIEDERMAYER,M.SCHNEIDER,R.GETZLAF
ANA,M.SCHNEIDER,C.PERRY,T.BERTUZZI
ANA,S.NIEDERMAYER,R.GETZLAF,M.SCHNEIDER
ANA,T.SELANNE,C.KUNITZ,S.NIEDERMAYER
ANA,T.SELANNE,R.GETZLAF,C.KUNITZ
ANA,R.GETZLAF,C.PERRY,T.BERTUZZI
ANA,T.SELANNE,R.GETZLAF,C.PRONGER
ANA,K.HUSKINS,C.KUNITZ,T.SELANNE
ANA,T.SELANNE,C.KUNITZ,F.BEAUCHEMIN
ANA,C.KUNITZ,T.SELANNE,S.PAHLSSON
ANA,T.SELANNE,M.SCHNEIDER,K.HUSKINS
ANA,S.PAHLSSON,R.NIEDERMAYER,
ANA,T.SELANNE,C.KUNITZ,R.GETZLAF
ANA,R.NIEDERMAYER,C.PRONGER,
ANA,R.GETZLAF,S.ODONNELL,
ANA,R.CARTER,T.SELANNE,C.KUNITZ
ANA,S.NIEDERMAYER,C.PRONGER,R.GETZLAF
ANA,C.PRONGER,M.SCHNEIDER,C.KUNITZ
ANA,C.KUNITZ,C.PERRY,
ANA,C.KUNITZ,R.GETZLAF,C.PERRY
ANA,T.SELANNE,R.GETZLAF,C.PRONGER
ANA,S.PAHLSSON,T.MOEN,R.NIEDERMAYER
ANA,R.CARTER,R.NIEDERMAYER,T.MARCHANT
ANA,M.SCHNEIDER,C.KUNITZ,R.GETZLAF
ANA,K.HUSKINS,M.SCHNEIDER,
ANA,R.CARTER,F.BEAUCHEMIN,S.NIEDERMAYER
ANA,R.CARTER,C.PERRY,C.KUNITZ
ANA,M.SCHNEIDER,B.SUTHERBY,G.PARROS
ANA,C.PERRY,M.SCHNEIDER,
ANA,C.KUNITZ,C.PRONGER,T.SELANNE
ANA,T.BERTUZZI,R.GETZLAF,
ANA,S.NIEDERMAYER,C.PRONGER,T.SELANNE
ANA,T.MARCHANT,R.CARTER,R.NIEDERMAYER
ANA,D.WEIGHT,T.BERTUZZI,F.BEAUCHEMIN
ANA,C.PERRY,C.KUNITZ,M.SCHNEIDER
ANA,R.NIEDERMAYER,F.BEAUCHEMIN,
ANA,C.PRONGER,R.GETZLAF,T.BERTUZZI
ANA,M.SCHNEIDER,F.BEAUCHEMIN,C.KUNITZ
ANA,R.GETZLAF,C.PERRY,
ANA,T.BERTUZZI,R.GETZLAF,C.PERRY
ANA,C.PERRY,T.BERTUZZI,R.GETZLAF
ANA,C.PRONGER,R.GETZLAF,M.SCHNEIDER
ANA,T.BERTUZZI,C.PERRY,M.SCHNEIDER
ANA,B.BOCHENSKI,M.SCHNEIDER,R.GETZLAF
ANA,C.PERRY,R.GETZLAF,T.BERTUZZI
ANA,S.NIEDERMAYER,C.PERRY,T.BERTUZZI
ANA,T.MARCHANT,R.CARTER,S.NIEDERMAYER
ANA,R.GETZLAF,B.BOCHENSKI,S.NIEDERMAYER
ANA,T.BERTUZZI,R.GETZLAF,C.PRONGER
ANA,T.BERTUZZI,F.BEAUCHEMIN,B.BOCHENSKI
ANA,C.PERRY,T.BERTUZZI,R.GETZLAF
ANA,D.WEIGHT,C.PRONGER,
ANA,F.BEAUCHEMIN,T.MARCHANT,S.NIEDERMAYER
