id,team,scorer,assist1,assist2
1,EDM,M.REASONER,F.PISANI,D.PENNER
2,EDM,J.STOLL,M.POULIOT,J.PITKANEN
3,EDM,C.GLENCROSS,K.BRODZIAK,S.STAIOS
4,EDM,C.GLENCROSS,K.BRODZIAK,
5,EDM,D.GREBESHKOV,A.HEMSKY,J.STOLL
6,EDM,D.PENNER,A.HEMSKY,
7,EDM,T.GILBERT,R.NILSSON,A.COGLIANO
8,EDM,J.STOLL,T.GILBERT,A.HEMSKY
9,EDM,C.GLENCROSS,K.BRODZIAK,D.GREBESHKOV
10,EDM,S.GAGNER,R.NILSSON,A.COGLIANO
11,EDM,F.PISANI,,
12,EDM,C.GLENCROSS,K.BRODZIAK,Z.STORTINI
13,EDM,A.COGLIANO,R.NILSSON,T.GILBERT
14,EDM,D.PENNER,A.HEMSKY,J.STOLL
15,EDM,K.BRODZIAK,,
16,EDM,A.COGLIANO,S.GAGNER,R.NILSSON
17,EDM,D.PENNER,A.HEMSKY,J.PITKANEN
18,EDM,S.GAGNER,A.HEMSKY,D.GREBESHKOV
19,EDM,F.PISANI,M.POULIOT,M.REASONER
20,EDM,K.BRODZIAK,J.PITKANEN,S.STAIOS
21,EDM,M.POULIOT,M.REASONER,F.PISANI
22,EDM,S.GAGNER,A.HEMSKY,D.PENNER
23,EDM,M.REASONER,,
24,EDM,T.GILBERT,D.GREBESHKOV,
25,EDM,T.GILBERT,S.GAGNER,R.NILSSON
26,EDM,S.GAGNER,J.PITKANEN,A.HEMSKY
27,EDM,R.NILSSON,A.HEMSKY,T.GILBERT
28,EDM,K.BRODZIAK,A.COGLIANO,T.GILBERT
29,EDM,D.PENNER,S.GAGNER,A.HEMSKY
30,EDM,C.GLENCROSS,Z.STORTINI,
31,EDM,C.GLENCROSS,M.POULIOT,K.BRODZIAK
32,EDM,J.STOLL,,
33,EDM,A.HEMSKY,R.NILSSON,S.GAGNER
34,EDM,A.HEMSKY,J.PITKANEN,D.ROLOSON
35,EDM,J.PITKANEN,R.NILSSON,A.COGLIANO
36,EDM,K.BRODZIAK,Z.STORTINI,C.GLENCROSS
37,EDM,M.REASONER,A.COGLIANO,F.PISANI
38,EDM,F.PISANI,M.REASONER,M.POULIOT
39,EDM,S.GAGNER,A.HEMSKY,J.STOLL
40,EDM,Z.STORTINI,K.BRODZIAK,M.POULIOT
41,EDM,J.STOLL,S.GAGNER,D.PENNER
42,EDM,S.GAGNER,A.HEMSKY,J.PITKANEN
43,EDM,A.COGLIANO,S.GAGNER,
44,EDM,D.PENNER,J.PITKANEN,
45,EDM,C.GLENCROSS,M.POULIOT,S.STAIOS
46,EDM,R.NILSSON,S.GAGNER,
47,EDM,M.REASONER,,
48,EDM,A.COGLIANO,S.GAGNER,
49,EDM,A.COGLIANO,R.NILSSON,D.GREBESHKOV
50,EDM,F.PISANI,A.HEMSKY,M.REASONER
51,EDM,A.COGLIANO,R.NILSSON,
52,EDM,T.GILBERT,R.NILSSON,F.PISANI
53,EDM,A.COGLIANO,S.GAGNER,D.GREBESHKOV
54,EDM,A.HEMSKY,J.STOLL,D.PENNER
55,EDM,S.STAIOS,A.COGLIANO,R.NILSSON
56,EDM,A.COGLIANO,A.HEMSKY,J.PITKANEN
57,EDM,A.HEMSKY,D.PENNER,M.ROY
58,EDM,R.NILSSON,S.GAGNER,A.COGLIANO
59,EDM,A.HEMSKY,D.PENNER,S.STAIOS
60,EDM,F.PISANI,G.SANDERSON,
61,EDM,T.GILBERT,R.NILSSON,A.COGLIANO
62,EDM,G.SANDERSON,M.REASONER,T.GILBERT
63,EDM,F.PISANI,J.STOLL,T.GILBERT
64,EDM,S.GAGNER,A.HEMSKY,J.PITKANEN
65,EDM,C.GLENCROSS,K.BRODZIAK,
66,EDM,A.COGLIANO,R.NILSSON,D.GREBESHKOV
67,EDM,D.PENNER,S.GAGNER,A.HEMSKY
68,EDM,C.GLENCROSS,D.GREBESHKOV,Z.STORTINI
69,EDM,F.PISANI,S.GAGNER,
70,EDM,D.GREBESHKOV,F.PISANI,T.GILBERT
71,EDM,S.GAGNER,R.NILSSON,A.COGLIANO
72,EDM,M.REASONER,A.HEMSKY,D.GREBESHKOV
73,EDM,M.REASONER,S.GAGNER,R.NILSSON
74,EDM,K.BRODZIAK,Z.STORTINI,T.GILBERT
75,EDM,A.HEMSKY,S.GAGNER,D.PENNER
76,EDM,K.BRODZIAK,Z.STORTINI,C.GLENCROSS
77,EDM,F.PISANI,E.MOREAU,
78,EDM,F.PISANI,A.COGLIANO,
79,EDM,J.STOLL,S.GAGNER,
80,EDM,K.BRODZIAK,C.GLENCROSS,Z.STORTINI
81,EDM,K.BRODZIAK,D.GREBESHKOV,C.GLENCROSS
82,EDM,R.NILSSON,S.GAGNER,
83,EDM,J.STOLL,A.HEMSKY,S.GAGNER
84,EDM,D.PENNER,S.GAGNER,J.PITKANEN
85,EDM,E.MOREAU,L.SMID,A.COGLIANO
86,EDM,J.PITKANEN,M.REASONER,T.GILBERT
87,EDM,F.PISANI,A.COGLIANO,
88,EDM,D.PENNER,G.SANDERSON,T.GILBERT
89,EDM,A.HEMSKY,S.GAGNER,J.STOLL
90,EDM,S.STAIOS,E.MOREAU,D.GREBESHKOV
91,EDM,S.GAGNER,J.STOLL,A.HEMSKY
92,EDM,Z.STORTINI,K.BRODZIAK,G.SANDERSON
93,EDM,E.MOREAU,,
94,EDM,J.STOLL,A.HEMSKY,D.PENNER
95,EDM,J.STOLL,A.HEMSKY,T.GILBERT
96,EDM,A.COGLIANO,S.GAGNER,J.PITKANEN
97,EDM,S.STAIOS,A.COGLIANO,S.GAGNER
98,EDM,A.HEMSKY,D.PENNER,S.HORCOFF
99,EDM,D.PENNER,A.HEMSKY,S.HORCOFF
100,EDM,S.GAGNER,S.STAIOS,R.NILSSON
