id,team,scorer,assist1,assist2
1,VAN,A.BURROWS,D.SEDIN,""
2,VAN,R.KESLER,H.SEDIN,"D.SEDIN"
3,VAN,C.EHRHOFF,A.EDLER,"J.HANSEN"
4,VAN,M.RAYMOND,J.HANSEN,""
5,VAN,R.KESLER,H.SEDIN,"D.SEDIN"
6,VAN,R.KESLER,,""
7,VAN,M.RAYMOND,D.SEDIN,"K.BIEKSA"
8,VAN,R.KESLER,C.HIGGINS,""
9,VAN,A.BURROWS,H.SEDIN,"K.BIEKSA"
10,VAN,D.SEDIN,V.ORESKOVICH,""
11,VAN,C.EHRHOFF,J.HANSEN,""
12,VAN,R.KESLER,D.SEDIN,"S.SALO"
13,VAN,A.BURROWS,H.SEDIN,"D.SEDIN"
14,VAN,A.BURROWS,D.SEDIN,"H.SEDIN"
15,VAN,A.ROME,J.HANSEN,""
16,VAN,C.EHRHOFF,C.HIGGINS,"M.RAYMOND"
17,VAN,H.SEDIN,D.SEDIN,"R.KESLER"
18,VAN,C.HIGGINS,R.KESLER,"M.RAYMOND"
19,VAN,C.HIGGINS,M.RAYMOND,"K.BIEKSA"
20,VAN,M.RAYMOND,R.TORRES,""
21,VAN,A.BOLDUC,V.ORESKOVICH,"K.BALLARD"
22,VAN,A.BURROWS,R.KESLER,""
23,VAN,D.SEDIN,H.SEDIN,"D.HAMHUIS"
24,VAN,D.SEDIN,H.SEDIN,"R.KESLER"
25,VAN,C.EHRHOFF,M.SAMUELSSON,"D.SEDIN"
26,VAN,M.LAPIERRE,C.HIGGINS,"K.BALLARD"
27,VAN,A.BURROWS,D.SEDIN,"D.HAMHUIS"
28,VAN,H.SEDIN,D.SEDIN,"A.BURROWS"
29,VAN,H.SEDIN,,""
30,VAN,R.TORRES,M.MALHOTRA,"J.HANSEN"
31,VAN,D.SEDIN,M.SAMUELSSON,"H.SEDIN"
32,VAN,R.KESLER,M.SAMUELSSON,"C.EHRHOFF"
33,VAN,R.KESLER,M.MALHOTRA,"C.EHRHOFF"
34,VAN,R.KESLER,M.SAMUELSSON,"H.SEDIN"
35,VAN,D.SEDIN,H.SEDIN,"C.EHRHOFF"
36,VAN,A.BURROWS,D.SEDIN,"C.EHRHOFF"
37,VAN,D.SEDIN,R.KESLER,"C.EHRHOFF"
38,VAN,A.BURROWS,D.SEDIN,"H.SEDIN"
39,VAN,S.SALO,D.HAMHUIS,"M.MALHOTRA"
40,VAN,M.RAYMOND,M.SAMUELSSON,"R.KESLER"
41,VAN,D.SEDIN,H.SEDIN,"C.EHRHOFF"
42,VAN,D.HAMHUIS,M.SAMUELSSON,"D.SEDIN"
43,VAN,H.SEDIN,R.KESLER,"C.EHRHOFF"
44,VAN,S.SALO,H.SEDIN,"D.SEDIN"
45,VAN,D.HAMHUIS,H.SEDIN,"D.SEDIN"
46,VAN,M.MALHOTRA,J.HANSEN,"R.TORRES"
47,VAN,M.MALHOTRA,J.HANSEN,""
48,VAN,D.SEDIN,M.SAMUELSSON,"H.SEDIN"
49,VAN,J.HANSEN,R.TORRES,""
50,VAN,D.SEDIN,C.EHRHOFF,"H.SEDIN"
51,VAN,A.BURROWS,M.MALHOTRA,""
52,VAN,M.RAYMOND,R.KESLER,"S.SALO"
53,VAN,M.MALHOTRA,R.TORRES,"C.EHRHOFF"
54,VAN,M.SAMUELSSON,H.SEDIN,"D.SEDIN"
55,VAN,S.SALO,T.GLASS,"V.ORESKOVICH"
56,VAN,M.MALHOTRA,J.HANSEN,""
57,VAN,H.SEDIN,M.SAMUELSSON,"R.KESLER"
58,VAN,M.SAMUELSSON,C.EHRHOFF,"D.SEDIN"
59,VAN,D.SEDIN,H.SEDIN,""
60,VAN,R.TORRES,A.ROME,""
61,VAN,D.SEDIN,H.SEDIN,"A.BURROWS"
62,VAN,H.SEDIN,D.SEDIN,"A.BURROWS"
63,VAN,R.TORRES,M.MALHOTRA,"J.HANSEN"
64,VAN,D.SEDIN,H.SEDIN,"C.EHRHOFF"
65,VAN,M.MALHOTRA,S.SALO,""
66,VAN,J.HANSEN,M.MALHOTRA,""
67,VAN,M.SAMUELSSON,R.KESLER,"M.RAYMOND"
68,VAN,R.KESLER,C.EHRHOFF,""
69,VAN,H.SEDIN,S.SALO,"A.BURROWS"
70,VAN,J.HANSEN,R.TORRES,"C.EHRHOFF"
71,VAN,A.BURROWS,M.RAYMOND,"M.MALHOTRA"
72,VAN,M.SAMUELSSON,M.RAYMOND,"K.BIEKSA"
73,VAN,M.SAMUELSSON,C.EHRHOFF,"D.SEDIN"
74,VAN,A.BURROWS,A.ROME,"M.MALHOTRA"
75,VAN,D.SEDIN,M.SAMUELSSON,"R.KESLER"
76,VAN,A.BURROWS,H.SEDIN,"D.SEDIN"
77,VAN,R.KESLER,D.SEDIN,"K.BIEKSA"
78,VAN,A.BURROWS,H.SEDIN,"C.EHRHOFF"
79,VAN,R.KESLER,M.RAYMOND,"M.SAMUELSSON"
80,VAN,M.SAMUELSSON,R.KESLER,"M.RAYMOND"
81,VAN,M.SAMUELSSON,M.RAYMOND,""
82,VAN,C.EHRHOFF,T.GLASS,"C.HODGSON"
83,VAN,M.SAMUELSSON,H.SEDIN,"D.HAMHUIS"
84,VAN,H.SEDIN,M.SAMUELSSON,"D.SEDIN"
85,VAN,D.SEDIN,H.SEDIN,"A.BURROWS"
86,VAN,A.BURROWS,D.SEDIN,""
87,VAN,J.HANSEN,L.SWEATT,"M.RAYMOND"
88,VAN,C.HODGSON,J.TAMBELLINI,"D.HAMHUIS"
89,VAN,R.KESLER,M.SAMUELSSON,""
90,VAN,M.RAYMOND,M.SAMUELSSON,""
91,VAN,R.KESLER,,""
92,VAN,M.SAMUELSSON,C.EHRHOFF,"D.SEDIN"
93,VAN,C.EHRHOFF,D.SEDIN,"M.SAMUELSSON"
94,VAN,R.KESLER,J.HANSEN,""
95,VAN,A.BURROWS,H.SEDIN,""
96,VAN,A.BURROWS,D.HAMHUIS,""
97,VAN,L.SWEATT,D.SEDIN,""
98,VAN,A.BURROWS,D.SEDIN,"K.BALLARD"
99,VAN,R.KESLER,A.EDLER,"H.SEDIN"
100,VAN,C.EHRHOFF,H.SEDIN,"D.SEDIN"
101,VAN,M.SAMUELSSON,R.KESLER,"M.RAYMOND"
102,VAN,H.SEDIN,A.VOLPATTI,"R.TORRES"
103,VAN,M.RAYMOND,A.EDLER,"M.SAMUELSSON"
104,VAN,D.HAMHUIS,J.TAMBELLINI,"C.TANEV"
105,VAN,A.EDLER,H.SEDIN,"D.SEDIN"
106,VAN,A.EDLER,A.BURROWS,"C.EHRHOFF"
107,VAN,R.KESLER,A.BURROWS,"R.LUONGO"
108,VAN,H.SEDIN,D.SEDIN,"D.HAMHUIS"
109,VAN,A.EDLER,D.SEDIN,"H.SEDIN"
110,VAN,R.KESLER,C.EHRHOFF,"A.EDLER"
111,VAN,S.SHIROKOV,R.KESLER,"D.HAMHUIS"
112,VAN,A.EDLER,J.HANSEN,"C.EHRHOFF"
113,VAN,C.EHRHOFF,R.KESLER,"D.SEDIN"
114,VAN,D.SEDIN,J.HANSEN,""
115,VAN,D.SEDIN,A.BURROWS,"K.BIEKSA"
116,VAN,A.BURROWS,D.SEDIN,"H.SEDIN"
117,VAN,R.KESLER,M.SAMUELSSON,"R.TORRES"
118,VAN,K.BIEKSA,,""
119,VAN,D.SEDIN,R.KESLER,"H.SEDIN"
120,VAN,D.SEDIN,H.SEDIN,"K.BIEKSA"
121,VAN,R.KESLER,A.ALBERTS,""
122,VAN,D.SEDIN,H.SEDIN,"A.BURROWS"
123,VAN,R.KESLER,D.HAMHUIS,"R.TORRES"
124,VAN,R.KESLER,C.EHRHOFF,""
125,VAN,A.EDLER,D.SEDIN,"H.SEDIN"
126,VAN,R.KESLER,M.RAYMOND,"A.BURROWS"
127,VAN,K.BIEKSA,R.TORRES,"D.HAMHUIS"
128,VAN,D.SEDIN,K.BIEKSA,"A.BURROWS"
129,VAN,D.SEDIN,H.SEDIN,"A.BURROWS"
130,VAN,A.EDLER,C.EHRHOFF,"D.SEDIN"
131,VAN,J.HANSEN,R.KESLER,"M.RAYMOND"
132,VAN,A.BURROWS,C.EHRHOFF,"K.BALLARD"
133,VAN,A.BOLDUC,T.GLASS,"R.LUONGO"
134,VAN,M.RAYMOND,A.BOLDUC,"K.BIEKSA"
135,VAN,D.SEDIN,H.SEDIN,"C.EHRHOFF"
136,VAN,R.TORRES,J.HANSEN,"K.BIEKSA"
137,VAN,H.SEDIN,A.EDLER,"D.SEDIN"
138,VAN,K.BIEKSA,D.HAMHUIS,"M.MALHOTRA"
139,VAN,M.MALHOTRA,C.EHRHOFF,"R.TORRES"
140,VAN,R.KESLER,K.BIEKSA,""
141,VAN,D.SEDIN,A.BURROWS,"H.SEDIN"
142,VAN,R.KESLER,H.SEDIN,"C.EHRHOFF"
143,VAN,J.HANSEN,D.SEDIN,"H.SEDIN"
144,VAN,J.TAMBELLINI,R.KESLER,""
145,VAN,J.TAMBELLINI,R.KESLER,"A.EDLER"
146,VAN,M.SAMUELSSON,R.TORRES,"M.MALHOTRA"
147,VAN,K.BIEKSA,A.BURROWS,"H.SEDIN"
148,VAN,A.BURROWS,H.SEDIN,"D.SEDIN"
149,VAN,C.EHRHOFF,H.SEDIN,"A.BURROWS"
150,VAN,R.TORRES,A.ALBERTS,""
