id,team,scorer,assist1,assist2
1,VAN,B.RICHARDSON,R.STANTON,Z.KASSIAN
2,VAN,Y.WEBER,N.JENSEN,D.SEDIN
3,VAN,Z.KASSIAN,D.HAMHUIS,D.BOOTH
4,VAN,D.BOOTH,,
5,VAN,D.BOOTH,,
6,VAN,Z.KASSIAN,B.RICHARDSON,
7,VAN,D.SEDIN,D.HAMHUIS,J.HANSEN
8,VAN,R.KESLER,C.HIGGINS,
9,VAN,B.RICHARDSON,Z.KASSIAN,S.MATTHIAS
10,VAN,S.MATTHIAS,Z.KASSIAN,B.RICHARDSON
11,VAN,Y.WEBER,Z.KASSIAN,S.MATTHIAS
12,VAN,D.BOOTH,Z.KASSIAN,
13,VAN,N.JENSEN,H.SEDIN,D.HAMHUIS
14,VAN,A.EDLER,K.BIEKSA,H.SEDIN
15,VAN,A.BURROWS,K.BIEKSA,A.EDLER
16,VAN,A.BURROWS,N.JENSEN,H.SEDIN
17,VAN,J.HANSEN,A.BURROWS,
18,VAN,D.HAMHUIS,A.BURROWS,H.SEDIN
19,VAN,N.JENSEN,A.BURROWS,H.SEDIN
20,VAN,A.BURROWS,A.EDLER,K.BIEKSA
21,VAN,J.SCHROEDER,Z.KASSIAN,
22,VAN,S.MATTHIAS,C.HIGGINS,C.TANEV
23,VAN,N.JENSEN,C.HIGGINS,C.TANEV
24,VAN,A.BURROWS,J.GARRISON,J.SCHROEDER
25,VAN,A.BURROWS,J.HANSEN,
26,VAN,C.HIGGINS,Y.WEBER,J.GARRISON
27,VAN,H.SEDIN,N.JENSEN,T.SESTITO
28,VAN,R.KESLER,A.BURROWS,K.BIEKSA
29,VAN,C.TANEV,C.HIGGINS,J.HANSEN
30,VAN,D.ARCHIBALD,J.SCHROEDER,
31,VAN,Y.WEBER,D.BOOTH,S.MATTHIAS
32,VAN,Z.DALPE,A.EDLER,K.BIEKSA
33,VAN,J.GARRISON,D.HAMHUIS,J.HANSEN
34,VAN,Z.KASSIAN,,
35,VAN,R.KESLER,C.HIGGINS,
36,VAN,J.HANSEN,T.SESTITO,
37,VAN,R.KESLER,C.HIGGINS,A.EDLER
38,VAN,C.HIGGINS,J.GARRISON,J.SCHROEDER
39,VAN,A.EDLER,R.DIAZ,A.BURROWS
40,VAN,R.DIAZ,Z.KASSIAN,R.STANTON
41,VAN,A.EDLER,A.BURROWS,R.KESLER
42,VAN,R.KESLER,,
43,VAN,J.GARRISON,R.STANTON,R.KESLER
44,VAN,C.HIGGINS,R.KESLER,A.EDLER
45,VAN,T.SESTITO,R.STANTON,Z.KASSIAN
46,VAN,J.SCHROEDER,D.BOOTH,
47,VAN,J.SCHROEDER,K.BIEKSA,R.STANTON
48,VAN,K.BIEKSA,C.HIGGINS,Z.DALPE
49,VAN,J.HANSEN,R.KESLER,
50,VAN,C.HIGGINS,D.HAMHUIS,
51,VAN,Z.DALPE,J.GARRISON,Z.KASSIAN
52,VAN,K.BIEKSA,B.RICHARDSON,C.HIGGINS
53,VAN,C.HIGGINS,D.WEISE,C.TANEV
54,VAN,K.LAIN,D.WEISE,T.SESTITO
55,VAN,Z.KASSIAN,R.KESLER,D.SEDIN
56,VAN,R.KESLER,Z.KASSIAN,C.HIGGINS
57,VAN,Y.WEBER,A.EDLER,R.KESLER
58,VAN,Z.KASSIAN,D.BOOTH,A.EDLER
59,VAN,Z.DALPE,D.SEDIN,H.SEDIN
60,VAN,M.SANTORELLI,J.GARRISON,
61,VAN,J.GARRISON,,
62,VAN,C.TANEV,D.HAMHUIS,Z.KASSIAN
63,VAN,C.HIGGINS,J.HANSEN,Y.WEBER
64,VAN,Z.KASSIAN,C.HIGGINS,K.BIEKSA
65,VAN,R.KESLER,H.SEDIN,D.SEDIN
66,VAN,T.SESTITO,H.SEDIN,J.GARRISON
67,VAN,K.BIEKSA,H.SEDIN,D.SEDIN
68,VAN,R.KESLER,D.SEDIN,H.SEDIN
69,VAN,B.RICHARDSON,C.HIGGINS,
70,VAN,Z.DALPE,D.WEISE,T.SESTITO
71,VAN,T.SESTITO,D.HAMHUIS,Z.DALPE
72,VAN,J.HANSEN,D.SEDIN,H.SEDIN
73,VAN,D.SEDIN,D.HAMHUIS,
74,VAN,J.HANSEN,H.SEDIN,D.HAMHUIS
75,VAN,M.SANTORELLI,R.KESLER,
76,VAN,B.RICHARDSON,D.HAMHUIS,
77,VAN,C.TANEV,Z.KASSIAN,D.BOOTH
78,VAN,Z.KASSIAN,J.GARRISON,
79,VAN,D.SEDIN,K.BIEKSA,H.SEDIN
80,VAN,C.HIGGINS,M.SANTORELLI,K.BIEKSA
81,VAN,J.HANSEN,D.SEDIN,H.SEDIN
82,VAN,D.BOOTH,Y.WEBER,M.SANTORELLI
83,VAN,J.HANSEN,,
84,VAN,D.BOOTH,B.RICHARDSON,
85,VAN,C.HIGGINS,R.KESLER,M.SANTORELLI
86,VAN,Y.WEBER,H.SEDIN,D.SEDIN
87,VAN,H.SEDIN,D.SEDIN,K.BIEKSA
88,VAN,C.TANEV,M.SANTORELLI,B.RICHARDSON
89,VAN,D.SEDIN,J.GARRISON,R.KESLER
90,VAN,Z.KASSIAN,D.BOOTH,J.GARRISON
91,VAN,C.HIGGINS,R.KESLER,M.SANTORELLI
92,VAN,D.WEISE,Y.WEBER,J.GARRISON
93,VAN,C.TANEV,D.HAMHUIS,C.HIGGINS
94,VAN,J.HANSEN,C.HIGGINS,
95,VAN,M.SANTORELLI,C.HIGGINS,
96,VAN,R.KESLER,M.SANTORELLI,C.HIGGINS
97,VAN,M.SANTORELLI,J.GARRISON,
98,VAN,J.GARRISON,D.HAMHUIS,D.SEDIN
99,VAN,H.SEDIN,D.SEDIN,R.STANTON
100,VAN,C.HIGGINS,,
101,VAN,B.RICHARDSON,D.WEISE,J.HANSEN
102,VAN,R.KESLER,J.GARRISON,M.SANTORELLI
103,VAN,R.KESLER,J.GARRISON,D.SEDIN
104,VAN,R.KESLER,J.GARRISON,H.SEDIN
105,VAN,T.SESTITO,J.GARRISON,Z.DALPE
106,VAN,R.KESLER,J.HANSEN,C.HIGGINS
107,VAN,D.BOOTH,M.SANTORELLI,D.WEISE
108,VAN,D.SEDIN,R.KESLER,A.EDLER
109,VAN,D.SEDIN,H.SEDIN,C.TANEV
110,VAN,D.BOOTH,M.SANTORELLI,
111,VAN,J.GARRISON,H.SEDIN,D.SEDIN
112,VAN,D.WEISE,J.GARRISON,D.BOOTH
113,VAN,M.SANTORELLI,,
114,VAN,C.TANEV,C.HIGGINS,D.WEISE
115,VAN,H.SEDIN,D.SEDIN,J.GARRISON
116,VAN,R.KESLER,J.GARRISON,D.SEDIN
117,VAN,D.SEDIN,A.EDLER,
118,VAN,Z.KASSIAN,B.RICHARDSON,R.STANTON
119,VAN,H.SEDIN,D.SEDIN,R.KESLER
120,VAN,A.EDLER,C.HIGGINS,M.SANTORELLI
121,VAN,H.SEDIN,D.SEDIN,R.STANTON
122,VAN,J.WELSH,R.STANTON,D.WEISE
123,VAN,C.HIGGINS,M.SANTORELLI,D.HAMHUIS
124,VAN,J.HANSEN,,
125,VAN,H.SEDIN,R.KESLER,K.BIEKSA
126,VAN,K.BIEKSA,H.SEDIN,A.BURROWS
127,VAN,T.SESTITO,B.RICHARDSON,Z.KASSIAN
128,VAN,D.HAMHUIS,K.BIEKSA,R.KESLER
129,VAN,B.RICHARDSON,D.ARCHIBALD,K.BIEKSA
130,VAN,M.SANTORELLI,C.HIGGINS,A.BURROWS
131,VAN,C.HIGGINS,A.BURROWS,
132,VAN,Z.KASSIAN,K.BIEKSA,R.STANTON
133,VAN,D.HAMHUIS,M.SANTORELLI,
134,VAN,R.KESLER,H.SEDIN,D.SEDIN
135,VAN,D.SEDIN,H.SEDIN,R.KESLER
136,VAN,Z.KASSIAN,B.RICHARDSON,A.EDLER
137,VAN,C.HIGGINS,C.TANEV,M.SANTORELLI
138,VAN,D.HAMHUIS,B.RICHARDSON,D.ARCHIBALD
139,VAN,D.SEDIN,H.SEDIN,R.STANTON
140,VAN,Z.KASSIAN,C.HIGGINS,K.BIEKSA
141,VAN,R.KESLER,D.SEDIN,R.STANTON
142,VAN,D.SEDIN,H.SEDIN,C.TANEV
143,VAN,C.HIGGINS,B.RICHARDSON,M.SANTORELLI
144,VAN,R.KESLER,M.SANTORELLI,
145,VAN,R.KESLER,D.SEDIN,H.SEDIN
146,VAN,R.KESLER,H.SEDIN,
147,VAN,D.SEDIN,H.SEDIN,R.KESLER
148,VAN,R.KESLER,D.HAMHUIS,C.TANEV
149,VAN,D.SEDIN,J.HANSEN,C.TANEV
150,VAN,H.SEDIN,D.SEDIN,D.WEISE
151,VAN,C.HIGGINS,K.BIEKSA,R.KESLER
152,VAN,B.RICHARDSON,M.SANTORELLI,A.EDLER
153,VAN,H.SEDIN,J.GARRISON,R.KESLER
154,VAN,A.EDLER,K.BIEKSA,H.SEDIN
155,VAN,B.RICHARDSON,D.WEISE,K.BIEKSA
156,VAN,Z.KASSIAN,D.BOOTH,K.BIEKSA
157,VAN,C.HIGGINS,M.SANTORELLI,
158,VAN,B.RICHARDSON,J.GARRISON,M.SANTORELLI
159,VAN,R.STANTON,D.SEDIN,H.SEDIN
160,VAN,R.KESLER,J.HANSEN,C.TANEV
161,VAN,C.HIGGINS,H.SEDIN,J.GARRISON
162,VAN,R.KESLER,C.HIGGINS,H.SEDIN
163,VAN,H.SEDIN,D.SEDIN,J.GARRISON
164,VAN,M.SANTORELLI,R.STANTON,C.TANEV
165,VAN,D.SEDIN,C.TANEV,R.STANTON
166,VAN,A.EDLER,D.SEDIN,H.SEDIN
167,VAN,M.SANTORELLI,J.GARRISON,D.BOOTH
168,VAN,D.BOOTH,J.GARRISON,A.EDLER
169,VAN,J.HANSEN,D.SEDIN,
170,VAN,M.SANTORELLI,H.SEDIN,C.HIGGINS
171,VAN,D.WEISE,B.RICHARDSON,D.HAMHUIS
172,VAN,M.SANTORELLI,K.BIEKSA,R.STANTON
