id,team,scorer,D.SEDIN,H.SEDIN,A.EDLER,J.HANSEN,K.BIEKSA,C.HIGGINS,V.ORESKOVICH,S.SALO,M.RAYMOND,R.KESLER,R.TORRES,K.BALLARD,D.HAMHUIS,M.SAMUELSSON,A.BURROWS,M.MALHOTRA,C.EHRHOFF,T.GLASS,A.ROME,C.HODGSON,L.SWEATT,J.TAMBELLINI,A.VOLPATTI,C.TANEV,R.LUONGO,A.ALBERTS,A.BOLDUC,C.SCHNEIDER,P.SCHAEFER,R.RYPIEN
1,VAN,A.BURROWS,16,14,0,0,2,0,0,0,1,1,0,2,2,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2,VAN,R.KESLER,6,8,6,3,2,1,0,1,7,0,3,0,1,10,2,2,10,0,0,0,0,2,0,0,1,2,0,0,0,0
3,VAN,C.EHRHOFF,7,3,4,3,0,1,0,0,2,1,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,VAN,M.RAYMOND,2,1,2,1,2,0,0,1,0,3,1,0,0,6,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
5,VAN,D.SEDIN,0,32,7,1,3,0,1,0,0,8,0,0,1,6,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
6,VAN,A.ROME,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,VAN,H.SEDIN,12,0,1,0,1,0,0,1,0,5,1,0,1,2,6,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
8,VAN,C.HIGGINS,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,VAN,A.BOLDUC,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
10,VAN,M.LAPIERRE,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,VAN,R.TORRES,0,0,0,5,4,0,0,0,1,0,0,0,3,1,0,6,0,0,2,0,0,0,0,0,1,1,0,0,0,0
12,VAN,S.SALO,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,VAN,D.HAMHUIS,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
14,VAN,M.MALHOTRA,0,0,1,4,0,0,0,1,1,0,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0
15,VAN,J.HANSEN,1,1,0,0,0,0,0,0,2,2,3,1,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0
16,VAN,M.SAMUELSSON,5,4,1,0,1,0,0,0,6,5,1,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
17,VAN,C.HODGSON,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,VAN,L.SWEATT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,VAN,A.EDLER,5,5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
20,VAN,S.SHIROKOV,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,VAN,K.BIEKSA,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,VAN,J.TAMBELLINI,2,2,3,0,0,0,0,0,2,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,VAN,A.VOLPATTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,VAN,K.BALLARD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,VAN,T.GLASS,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
26,VAN,M.BLIZNAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,VAN,P.SCHAEFER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,VAN,A.ALBERTS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
