team,scorer,assist1,assist2
PHX,D.CARCILLO,K.TURRIS,P.MUELLER
PHX,D.CARCILLO,R.VRBATA,D.MORRIS
ANA,C.KUNITZ,T.SELANNE,S.NIEDERMAYER
ANA,B.RYAN,R.GETZLAF,T.BERTUZZI
CBJ,M.PECA,R.NASH,R.HAINSEY
STL,D.BACKES,D.PERRON,J.WOYWITKA
STL,B.BOYES,K.TKACHUK,P.KARIYA
STL,D.PERRON,E.BREWER,L.STEMPNIAK
STL,K.TKACHUK,R.JOHNSON,B.JACKMAN
PHI,S.UPSHALL,M.KNUBLE,J.CARTER
PHI,M.KNUBLE,J.CARTER,
N.J,J.MADDEN,B.GIONTA,P.MARTIN
N.J,M.RUPP,D.ZUBRUS,
NYR,C.DRURY,N.DAWES,R.CALLAHAN
NYR,J.JAGR,S.AVERY,C.BACKMAN
S.J,P.MARLEAU,B.CAMPBELL,J.PAVELSKI
S.J,J.CHEECHOO,P.MARLEAU,M.MICHALEK
DAL,A.MIETTINEN,M.MODANO,B.MORROW
DAL,S.BARNES,B.MORROW,M.NISKANEN
DAL,M.NORSTROM,T.PETERSEN,N.HAGMAN
DAL,S.OTT,J.LUNDQVIST,
MIN,M.PARRISH,P.DEMITRA,M.KOIVU
COL,P.STASTNY,P.FORSBERG,M.HEJDUK
MIN,K.CARNEY,P.BOUCHARD,S.VEILLEUX
COL,J.SAKIC,P.FORSBERG,P.STASTNY
COL,M.HEJDUK,P.FORSBERG,J.SAKIC
MIN,B.ROLSTON,P.NUMMELIN,P.DEMITRA
DET,J.HUDLER,D.MCCARTY,B.LEBDA
DET,N.LIDSTROM,J.HUDLER,N.KRONVALL
DET,M.HARTIGAN,,
DET,N.LIDSTROM,J.FRANZEN,D.CLEARY
CHI,P.KANE,P.SHARP,J.WILLIAMS
CGY,D.MOSS,E.NYSTROM,
VAN,B.RITCHIE,R.RYPIEN,
CGY,K.HUSELIUS,M.LOMBARDI,R.REGEHR
CGY,E.NYSTROM,D.MOSS,
CGY,D.BOYD,J.IGINLA,D.HALE
CGY,A.TANGUAY,D.LANGKOW,J.IGINLA
CGY,J.IGINLA,E.NYSTROM,W.PRIMEAU
CGY,E.NYSTROM,W.PRIMEAU,
ATL,B.HOLIK,I.KOVALCHUK,C.THORBURN
T.B,M.DARCHE,F.KUBA,D.BOYLE
