team,scorer,assist1,assist2
PIT,J.NEAL,J.JOKINEN,R.BORTUZZO
PIT,L.STEMPNIAK,M.NISKANEN,
T.B,V.FILPPULA,,
DET,J.ANDERSSON,D.HELM,D.ALFREDSSON
DET,G.NYQUIST,D.LEGWAND,
DET,D.LEGWAND,J.FRANZEN,N.KRONWALL
T.B,S.SALO,N.KUCHEROV,
OTT,M.MICHALEK,E.KARLSSON,A.HEMSKY
CGY,M.STAJAN,J.HUDLER,C.GLENCROSS
OTT,M.MICHALEK,J.SPEZZA,A.HEMSKY
CGY,P.BYRON,M.BACKLUND,M.CAMMALLERI
CGY,S.MONAHAN,J.HUDLER,J.COLBORNE
OTT,K.TURRIS,C.MACARTHUR,
OTT,J.COWEN,M.ZIBANEJAD,
OTT,C.MACARTHUR,K.TURRIS,
OTT,K.TURRIS,,
PHI,V.LECAVALIER,A.HALL,
BOS,A.MESZAROS,B.MARCHAND,D.HAMILTON
PHI,K.TIMONEN,J.VORACEK,
BOS,Z.CHARA,J.IGINLA,D.KREJCI
BOS,P.BERGERON,R.SMITH,M.BARTKOWSKI
PHI,V.LECAVALIER,J.VORACEK,K.TIMONEN
L.A,T.LEWIS,K.CLIFFORD,J.MUZZIN
L.A,A.KOPITAR,M.GABORIK,
L.A,A.KOPITAR,M.GABORIK,W.MITCHELL
WPG,M.HALISCHUK,E.KANE,E.ODELL
L.A,T.TOFFOLI,T.PEARSON,W.MITCHELL
WPG,B.WHEELER,B.LITTLE,D.BYFUGLIEN
ANA,L.SBISA,S.VATANEN,P.MAROON
ANA,M.BELESKEY,R.RAKELL,D.WINNIK
VAN,B.RICHARDSON,R.STANTON,Z.KASSIAN
ANA,S.KOIVU,D.WINNIK,A.COGLIANO
ANA,C.PERRY,S.KOIVU,A.COGLIANO
ANA,M.PERREAULT,C.PERRY,R.GETZLAF
DAL,C.SCEVIOUR,S.HORCOFF,
DAL,C.SCEVIOUR,S.HORCOFF,V.FIDDLER
STL,A.STEEN,A.PIETRANGELO,K.SHATTENKIRK
DAL,C.EAKIN,J.BENN,A.ROUSSEL
STL,A.STEEN,D.BACKES,K.SHATTENKIRK
DAL,A.ROUSSEL,J.BENN,C.EAKIN
CAR,J.SKINNER,E.LINDHOLM,R.NASH
CBJ,M.CALVERT,,
CAR,A.LOKTIONOV,R.NASH,J.HARRISON
CBJ,A.ANISIMOV,N.HORTON,N.FOLIGNO
CBJ,R.JOHANSEN,A.ANISIMOV,J.WISNIEWSKI
