team,scorer,assist1,assist2
OTT,E.CONDRA,J.PAGEAU,C.CONACHER
OTT,J.COWEN,K.TURRIS,S.GONCHAR
BOS,R.PEVERLEY,W.REDDEN,D.SEIDENBERG
BOS,D.SEIDENBERG,M.LUCIC,K.DAUGAVINS
OTT,J.PAGEAU,M.METHOT,E.KARLSSON
OTT,K.TURRIS,E.KARLSSON,D.ALFREDSSON
VAN,D.ROY,J.HANSEN,M.RAYMOND
EDM,J.EBERLE,J.SCHULTZ,N.SCHULTZ
EDM,N.YAKUPOV,J.SCHULTZ,S.GAGNER
VAN,T.SESTITO,K.BIEKSA,Z.KASSIAN
EDM,J.SCHULTZ,T.HALL,M.FISTRIC
EDM,N.YAKUPOV,M.PAAJARVI,
EDM,J.EBERLE,T.HALL,J.SCHULTZ
EDM,N.YAKUPOV,M.FISTRIC,M.PAAJARVI
EDM,J.SMITHSON,R.JONES,R.SMYTH
L.A,K.CLIFFORD,A.KOPITAR,J.WILLIAMS
S.J,L.COUTURE,T.GALIARDI,B.BURNS
L.A,S.VOYNOV,R.SCUDERI,B.RICHARDSON
L.A,J.WILLIAMS,B.RICHARDSON,D.PENNER
S.J,T.GALIARDI,J.PAVELSKI,B.BURNS
PIT,E.MALKIN,J.NEAL,M.FLEURY
PIT,J.NEAL,K.LETANG,C.KUNITZ
CAR,K.WESTGARTH,J.TLUSTY,E.STAAL
PIT,J.JOKINEN,P.DUPUIS,J.IGINLA
CAR,T.RUUTU,J.STAAL,P.DWYER
CAR,K.WESTGARTH,J.MCBAIN,E.STAAL
PIT,J.NEAL,E.MALKIN,P.MARTIN
PIT,J.NEAL,E.MALKIN,C.KUNITZ
PIT,B.MORROW,B.SUTTER,M.COOKE
PIT,M.COOKE,B.MORROW,P.MARTIN
PIT,J.JOKINEN,J.IGINLA,K.LETANG
PHX,R.VRBATA,S.DOAN,D.SCHLEMKO
ANA,T.SELANNE,P.MAROON,N.BONINO
PHX,K.CHIPCHURA,P.BISSONNETTE,K.YANDLE
ANA,F.BEAUCHEMIN,R.GETZLAF,C.FOWLER
PHX,R.VRBATA,M.HANZAL,K.YANDLE
PHX,R.VRBATA,M.HANZAL,
ANA,B.RYAN,R.GETZLAF,
PHX,A.VERMETTE,R.VRBATA,O.EKMAN-LARSSON
STL,P.BERGLUND,A.MCDONALD,V.TARASENKO
