team,scorer,assist1,assist2
Carolina,Alexander Semin,Michal Jordan,
Columbus,Boone Jenner,Tim Erixon,Marian Gaborik
Columbus,Marian Gaborik,Nikita Nikitin,Brandon Dubinsky
Carolina,Jeremy Welsh,Chris Terry,Michal Jordan
Carolina,Alexander Semin,Drayson Bowman,Jay Harrison
Carolina,Eric Staal,Jay Harrison,Kevin Westgarth
Columbus,Ryan Johansen,Boone Jenner,Nick Foligno
Columbus,Marian Gaborik,Tim Erixon,Brandon Dubinsky
Columbus,Sean Collins,Brandon Dubinsky,Nick Foligno
Dallas,Cody Eakin,Ray Whitney,Sergei Gonchar
Dallas,Jamie Benn,Tyler Seguin,Alex Chiasson
Florida,Drew Shore,Brian Campbell,Scott Gomez
Florida,Scottie Upshall,Jesse Winchester,Erik Gudbranson
Colorado,Paul Stastny,Gabriel Landeskog,Alex Tanguay
Anaheim,Devante Smith-Pelly,Patrick Maroon,Mark Fistric
Anaheim,Hampus Lindholm,Nick Bonino,
Edmonton,Jordan Eberle,Boyd Gordon,Martin Marincin
Edmonton,Martin Marincin,Brad Hunt,Jordan Eberle
Edmonton,David Perron,Boyd Gordon,Jordan Eberle
Edmonton,Jesse Joensuu,Mark Arcobello,Brad Hunt
Vancouver,Brendan Gaunce,Mike Santorelli,Brandon Defazio
Detroit,Tomas Tatar,Gustav Nyquist,
Chicago,Byron Froese,,
Chicago,Joakim Nordstrom,,
Chicago,Garret Ross,,
Chicago,Byron Froese,Brent Seabrook,Michael Kostka
Detroit,Tomas Tatar,Gustav Nyquist,Adam Almquist
Detroit,Jonathan Ericsson,Gustav Nyquist,Cory Emmerton
Nashville,Gabriel Bourque,Filip Forsberg,Ryan Ellis
Nashville,Austin Watson,Craig Smith,
Toronto,Phil Kessel,Tyler Bozak,Carter Ashton
Toronto,Trevor Smith,Jake Gardiner,Tj Brennan
Buffalo,Nikita Zadorov,John Scott,Michael Zigomanis
Toronto,Phil Kessel,Carter Ashton,Jonathan Bernier
Toronto,Josh Leivo,James Van Riemsdyk,Joe Colborne
Buffalo,Jamie Mcbain,Joel Armia,Mikhail Grigorenko
Buffalo,Corey Tropp,Jamie Mcbain,Marcus Foligno
Toronto,Jake Gardiner,,
Colorado,Guillaume Desbiens,Matt Hunwick,Mitchell Heard
Anaheim,Kyle Palmieri,Francois Beauchemin,
Colorado,Brad Malone,,
Washington,Nicklas Backstrom,Marcus Johansson,John Carlson
Chicago,Dylan Olsen,Marcus Kruger,Jimmy Hayes
Chicago,Jeremy Morin,Klas Dahlbeck,
Washington,Tom Wilson,Andre Burakovsky,
Chicago,Brad Winchester,Dylan Olsen,Jonathan Toews
Chicago,Brandon Bollig,Adam Clendening,Ryan Hartman
Washington,Eric Fehr,Jason Chimera,Joel Ward
Washington,Alex Ovechkin,John Carlson,Marcus Johansson
Tampa Bay,Artem Sergeev,Valtteri Filppula,
St. Louis,Alexander Steen,David Backes,
Tampa Bay,Brett Connolly,Valtteri Filppula,Alex Killorn
St. Louis,Corey Locke,Tyler Shattock,
Tampa Bay,Ondrej Palat,Tyler Johnson,Richard Panik
Tampa Bay,Pierre-Cedric Labrie,Valtteri Filppula,Eric Brewer
Colorado,Andre Benoit,Ryan OReilly,Matt Duchene
Los Angeles,Justin Williams,Slava Voynov,
Los Angeles,Nick Shore,Justin Williams,Dwight King
Los Angeles,Dwight King,Nick Shore,Slava Voynov
Colorado,Steve Downie,Matt Duchene,Tyson Barrie
Colorado,Ryan OReilly,Matt Duchene,Chris Bigras
Colorado,Ryan OReilly,Nick Holden,
San Jose,Tomas Hertl,Adam Comrie,Joe Thornton
Anaheim,Emerson Etem,Devante Smith-Pelly,Daniel Winnik
San Jose,Tyler Kennedy,Patrick Marleau,
Anaheim,Corey Perry,Ryan Getzlaf,Patrick Maroon
