team,scorer,assist1,assist2
NY Islanders,Cal Clutterbuck,Frans Nielsen,Johan Sundstrom
NY Islanders,Travis Hamonic,Calvin De Haan,
St. Louis,David Backes,Alexander Steen,Alex Pietrangelo
New Jersey,Damien Brunner,Adam Henrique,Marek Zidlicky
New Jersey,Patrik Elias,Jon Merrill,
New Jersey,Jon Merrill,Ryane Clowe,Peter Harrold
Toronto,Tyler Bozak,Morgan Rielly,Jake Gardiner
Toronto,Phil Kessel,Dion Phaneuf,
Nashville,Mike Fisher,Ryan Ellis,Mattias Ekholm
Nashville,Gabriel Bourque,Calle Jarnkrok,
Detroit,Gustav Nyquist,Niklas Kronwall,Daniel Alfredsson
Detroit,Gustav Nyquist,Tomas Tatar,
Minnesota,Jason Pominville,Ryan Suter,Mikko Koivu
Minnesota,Charlie Coyle,Matt Moulson,Mikko Koivu
Minnesota,Zach Parise,Mikael Granlund,Jared Spurgeon
Detroit,Tomas Tatar,Brendan Smith,
Minnesota,Matt Moulson,Jonas Brodin,Charlie Coyle
Anaheim,Patrick Maroon,Ryan Getzlaf,Corey Perry
Anaheim,Teemu Selanne,Corey Perry,Ryan Getzlaf
Anaheim,Jakob Silfverberg,,
Florida,Jimmy Hayes,Krys Barch,Dmitry Kulikov
Florida,Tomas Fleischmann,Vincent Trocheck,
Anaheim,Kyle Palmieri,Mathieu Perreault,Patrick Maroon
Anaheim,Corey Perry,Sami Vatanen,Bryan Allen
Anaheim,Ryan Getzlaf,Teemu Selanne,Stephane Robidas
Buffalo,Tyler Ennis,Marcus Foligno,Christian Ehrhoff
Buffalo,Jamie Mcbain,Brian Flynn,Matt DAgostini
Vancouver,Brad Richardson,Zack Kassian,Shawn Matthias
Vancouver,Shawn Matthias,Zack Kassian,Brad Richardson
Vancouver,Yannick Weber,Zack Kassian,Shawn Matthias
Vancouver,David Booth,Zack Kassian,
