team,scorer,assist1,assist2
L.A,J.WILLIAMS,J.STOLL,A.MARTINEZ
L.A,M.RICHARDS,J.WILLIAMS,W.MITCHELL
S.J,D.BOYLE,M.HAVLAT,L.COUTURE
S.J,P.MARLEAU,J.PAVELSKI,L.COUTURE
S.J,D.BOYLE,M.HAVLAT,
FLA,M.GOC,D.KULIKOV,M.SAMUELSSON
FLA,J.MADDEN,T.KOPECKY,E.JOVANOVSKI
FLA,S.WEISS,M.SAMUELSSON,K.VERSTEEG
CAR,J.PITKANEN,E.STAAL,
FLA,M.SAMUELSSON,J.GARRISON,M.GOC
VAN,H.SEDIN,A.BURROWS,R.KESLER
VAN,S.PAHLSSON,J.HANSEN,
VAN,D.BOOTH,K.BIEKSA,R.LUONGO
NSH,D.LEGWAND,G.BOURQUE,A.RADULOV
COL,M.DUCHENE,C.KOBASEW,C.MCLEOD
NSH,C.SMITH,M.HALISCHUK,C.WILSON
NSH,P.HORNQVIST,K.KLEIN,A.KOSTITSYN
NSH,R.JOSI,C.SMITH,K.KLEIN
NSH,B.YIP,N.SPALING,
NSH,M.HALISCHUK,C.SMITH,
STL,K.RUSSELL,C.STEWART,J.LANGENBRUNNER
STL,A.STEEN,K.SHATTENKIRK,A.PIETRANGELO
DAL,R.GARBUTT,L.ERIKSSON,J.BENN
STL,D.PERRON,T.OSHIE,
DAL,P.LARSEN,A.GOLIGOSKI,T.VINCOUR
PHX,M.BOEDKER,S.DOAN,
PHX,T.PYATT,B.GORDON,M.ROZSIVAL
MIN,D.HEATLEY,M.KOIVU,C.GENOWAY
PHX,T.PYATT,L.KORPIKOSKI,M.ROZSIVAL
PHX,R.VRBATA,R.WHITNEY,M.SMITH
CBJ,R.NASH,M.LETESTU,V.PROSPAL
CBJ,C.ATKINSON,,
NYI,M.JURCINA,F.NIELSEN,M.GRABNER
CBJ,R.UMBERGER,C.ATKINSON,D.BRASSARD
NYI,K.OKPOSO,M.JURCINA,
CBJ,J.WISNIEWSKI,V.PROSPAL,J.JOHNSON
CBJ,C.ATKINSON,D.DORSETT,J.WISNIEWSKI
CBJ,J.JOHNSON,J.WISNIEWSKI,D.BRASSARD
CBJ,V.PROSPAL,N.NIKITIN,
NYI,M.GRABNER,M.STREIT,D.REESE
MTL,T.PLEKANEC,,
MTL,M.PACIORETTY,J.GORGES,
TOR,D.PHANEUF,M.GRABOVSKI,C.MACARTHUR
MTL,E.COLE,M.PACIORETTY,
MTL,B.STAUBITZ,,
WSH,A.OVECHKIN,B.LAICH,
WSH,M.PERREAULT,R.HAMRLIK,K.AUCOIN
WSH,J.CARLSON,N.BACKSTROM,M.JOHANSSON
WSH,N.BACKSTROM,A.SEMIN,R.HAMRLIK
NYR,B.BOYLE,S.BICKEL,B.DUBINSKY
T.B,T.PURCELL,V.LECAVALIER,
T.B,T.PURCELL,V.LECAVALIER,J.BROWN
WPG,N.ANTROPOV,A.MIETTINEN,E.KANE
T.B,S.STAMKOS,M.ST LOUIS,B.LEE
WPG,J.SLATER,G.CLITSOME,T.ENSTROM
WPG,J.SLATER,B.WHEELER,A.LADD
T.B,T.PURCELL,V.HEDMAN,
PIT,P.DUPUIS,A.ASHAM,J.STAAL
PHI,B.SCHENN,H.ZOLNIERCZYK,B.COBURN
PIT,C.KUNITZ,E.MALKIN,
PHI,J.JAGR,M.TALBOT,B.SCHENN
PIT,S.CROSBY,C.KUNITZ,J.STAAL
PIT,E.MALKIN,K.LETANG,S.CROSBY
BOS,T.SEGUIN,P.BERGERON,
BUF,B.BOYES,B.MCNABB,T.VANEK
BUF,B.BOYES,D.ROY,T.VANEK
BUF,J.POMINVILLE,N.GERBE,B.MCNABB
BOS,T.SEGUIN,P.BERGERON,R.PEVERLEY
BOS,B.MARCHAND,P.BERGERON,
OTT,M.GILROY,K.TURRIS,N.FOLIGNO
N.J,I.KOVALCHUK,P.ELIAS,P.HARROLD
OTT,J.OBRIEN,E.CONDRA,M.GILROY
N.J,P.SYKORA,A.HENRIQUE,D.ZUBRUS
N.J,S.GIONTA,A.PONIKAROVSKY,S.BERNIER
N.J,I.KOVALCHUK,Z.PARISE,
CGY,A.ALIU,M.CAMMALLERI,
ANA,B.RYAN,R.GETZLAF,S.KOIVU
CGY,J.BOUWMEESTER,B.COMEAU,T.KOSTOPOULOS
CGY,A.BABCHUK,J.IGINLA,
CGY,A.ALIU,J.BOUWMEESTER,M.STAJAN
CGY,L.STEMPNIAK,B.JONES,C.SARICH
ANA,B.RYAN,N.HAGMAN,
CHI,V.STALBERG,P.SHARP,M.KRUGER
CHI,A.SHAW,P.SHARP,P.KANE
DET,J.FRANZEN,,
DET,P.DATSYUK,T.HOLMSTROM,H.ZETTERBERG
PHX,K.YANDLE,D.LANGKOW,R.TORRES
STL,P.BERGLUND,T.OSHIE,A.MCDONALD
PHX,R.VRBATA,R.WHITNEY,M.HANZAL
PHX,S.DOAN,A.VERMETTE,M.BOEDKER
PHX,M.BOEDKER,A.VERMETTE,
L.A,A.MARTINEZ,D.BROWN,A.KOPITAR
S.J,J.DEMERS,D.WINNIK,D.MOORE
L.A,J.STOLL,D.KING,W.MITCHELL
L.A,D.BROWN,A.KOPITAR,W.MITCHELL
S.J,J.THORNTON,D.BOYLE,L.COUTURE
S.J,R.CLOWE,,
L.A,J.WILLIAMS,A.MARTINEZ,W.MITCHELL
S.J,P.MARLEAU,J.PAVELSKI,J.THORNTON
S.J,M.HAVLAT,R.CLOWE,P.MARLEAU
L.A,J.WILLIAMS,M.RICHARDS,A.KOPITAR
EDM,S.GAGNER,J.PETRY,R.JONES
ANA,A.COGLIANO,L.SBISA,
ANA,B.RYAN,D.SMITH-PELLY,N.BONINO
EDM,J.EBERLE,R.NUGENT-HOPKINS,A.HEMSKY
ANA,R.GETZLAF,,
N.J,A.PONIKAROVSKY,P.HARROLD,D.CLARKSON
DET,T.HOLMSTROM,J.HUDLER,V.FILPPULA
N.J,P.SYKORA,P.ELIAS,D.ZUBRUS
BOS,B.POULIOT,B.ROLSTON,J.CARON
BOS,G.ZANON,,
OTT,J.SPEZZA,E.KARLSSON,F.KUBA
BOS,M.LUCIC,D.KREJCI,T.KRUG
VAN,A.BURROWS,D.HAMHUIS,
CGY,M.CAMMALLERI,J.BOUWMEESTER,A.ALIU
CGY,C.GLENCROSS,,
CGY,M.CAMMALLERI,L.STEMPNIAK,M.GIORDANO
VAN,J.HANSEN,C.HIGGINS,K.BIEKSA
CBJ,C.ATKINSON,D.BOYCE,C.GILLIES
COL,D.JONES,J.MCGINN,P.STASTNY
CBJ,R.NASH,M.LETESTU,V.PROSPAL
COL,P.STASTNY,G.LANDESKOG,P.MUELLER
CBJ,R.NASH,D.BRASSARD,J.JOHNSON
CBJ,C.ATKINSON,R.UMBERGER,
CBJ,C.ATKINSON,S.MASON,
CHI,J.MAYERS,M.FROLIK,
MIN,C.CLUTTERBUCK,M.SCANDELLA,D.HEATLEY
NSH,F.BOUILLON,P.HORNQVIST,A.KOSTITSYN
NSH,P.HORNQVIST,B.YIP,M.FISHER
MTL,B.GEOFFRION,M.BLUNDEN,J.GORGES
CAR,C.LAROSE,J.MCBAIN,J.PITKANEN
WSH,J.BEAGLE,T.BROUWER,K.ALZNER
WSH,A.OVECHKIN,M.JOHANSSON,
WSH,B.LAICH,K.AUCOIN,R.HAMRLIK
FLA,M.SAMUELSSON,S.BERGENHEIM,M.GOC
FLA,E.JOVANOVSKI,B.CAMPBELL,J.GARRISON
WSH,A.SEMIN,B.LAICH,D.ORLOV
PIT,C.KUNITZ,K.LETANG,E.MALKIN
NYR,B.DUBINSKY,B.BOYLE,R.FEDOTENKO
PIT,T.KENNEDY,J.STAAL,Z.MICHALEK
PIT,R.PARK,P.DUPUIS,E.TANGRADI
PIT,E.MALKIN,C.KUNITZ,S.CROSBY
NYR,A.ANISIMOV,B.BOYLE,D.GIRARDI
PIT,K.LETANG,J.STAAL,
BUF,V.LEINO,D.STAFFORD,R.REGEHR
PHI,M.BOURDON,A.LILJA,C.GIROUX
PHI,M.READ,J.VORACEK,M.BOURDON
NYI,M.MOULSON,J.TAVARES,
NYI,K.OKPOSO,J.BAILEY,F.NIELSEN
WPG,T.ENSTROM,J.SLATER,D.BYFUGLIEN
WPG,A.LADD,B.LITTLE,Z.BOGOSIAN
NYI,K.OKPOSO,J.TAVARES,
WPG,Z.BOGOSIAN,C.THORBURN,D.BYFUGLIEN
NYI,M.GRABNER,,
WPG,D.BYFUGLIEN,T.ENSTROM,
NYI,M.GRABNER,T.HAMONIC,F.NIELSEN
T.B,M.ST LOUIS,B.LEE,R.MALONE
TOR,T.CONNOLLY,J.GARDINER,D.STECKEL
T.B,S.STAMKOS,B.GERVAIS,M.ST LOUIS
TOR,J.GARDINER,,
TOR,D.PHANEUF,P.KESSEL,
MTL,A.EMELIN,D.DESHARNAIS,P.BUDAJ
T.B,V.LECAVALIER,,
MTL,E.COLE,D.DESHARNAIS,M.PACIORETTY
MTL,E.COLE,T.PLEKANEC,A.MARKOV
T.B,B.GERVAIS,T.WALLACE,V.HEDMAN
MTL,M.PACIORETTY,E.COLE,J.GORGES
MTL,M.PACIORETTY,P.SUBBAN,
STL,D.PERRON,,
STL,A.MCDONALD,,
DET,J.FRANZEN,P.DATSYUK,T.BERTUZZI
DET,J.FRANZEN,P.DATSYUK,T.BERTUZZI
S.J,D.WINNIK,A.DESJARDINS,B.BURNS
DAL,B.MORROW,M.RIBEIRO,M.FISTRIC
DAL,A.GOLIGOSKI,J.BENN,P.LARSEN
S.J,T.GALIARDI,D.MOORE,M.VLASIC
S.J,L.COUTURE,M.HAVLAT,D.BOYLE
S.J,J.THORNTON,J.PAVELSKI,P.MARLEAU
S.J,R.CLOWE,L.COUTURE,
FLA,M.STURM,D.KULIKOV,M.GOC
FLA,K.VERSTEEG,T.FLEISCHMANN,B.CAMPBELL
FLA,T.FLEISCHMANN,K.VERSTEEG,
WPG,E.KANE,S.MACHACEK,Z.BOGOSIAN
WPG,Z.BOGOSIAN,,
WPG,A.LADD,D.BYFUGLIEN,B.LITTLE
WPG,B.LITTLE,B.WHEELER,D.BYFUGLIEN
FLA,T.KOPECKY,M.STURM,S.UPSHALL
WPG,A.LADD,B.WHEELER,
CAR,B.SUTTER,T.GLEASON,
CAR,T.RUUTU,J.JOKINEN,J.PITKANEN
OTT,J.SPEZZA,C.GREENING,D.ALFREDSSON
PIT,S.CROSBY,P.DUPUIS,K.LETANG
PIT,P.MARTIN,T.KENNEDY,K.LETANG
BOS,B.POULIOT,C.KELLY,B.ROLSTON
BOS,M.LUCIC,D.KREJCI,R.PEVERLEY
PIT,J.NEAL,C.KUNITZ,S.CROSBY
PIT,S.CROSBY,K.LETANG,E.MALKIN
PIT,A.ASHAM,C.ADAMS,J.VITALE
BOS,R.PEVERLEY,M.LUCIC,D.KREJCI
PHX,B.GORDON,L.KORPIKOSKI,T.PYATT
PHX,G.BRULE,M.ROZSIVAL,D.LANGKOW
ANA,R.GETZLAF,C.PERRY,
VAN,A.BURROWS,H.SEDIN,M.GRAGNANI
ANA,C.PERRY,B.RYAN,T.SELANNE
VAN,C.HIGGINS,D.HAMHUIS,J.HANSEN
ANA,R.PELLEY,B.RYAN,D.SMITH-PELLY
ANA,D.SMITH-PELLY,B.RYAN,S.KOIVU
VAN,A.BURROWS,D.HAMHUIS,A.EDLER
VAN,M.LAPIERRE,H.SEDIN,M.RAYMOND
NSH,G.BOURQUE,N.SPALING,
MIN,D.HEATLEY,N.PROSSER,M.KOIVU
NYR,R.MCDONAGH,M.GABORIK,B.RICHARDS
NYR,B.BOYLE,R.MCDONAGH,R.FEDOTENKO
NYR,A.ANISIMOV,D.GIRARDI,B.DUBINSKY
NYR,R.CALLAHAN,B.RICHARDS,D.STEPAN
PHI,J.VORACEK,K.TIMONEN,C.GIROUX
NYR,M.GABORIK,A.STRALMAN,M.STAAL
PHI,W.SIMMONDS,C.GIROUX,J.VORACEK
PHI,S.HARTNELL,A.LILJA,C.GIROUX
N.J,P.ELIAS,P.SYKORA,M.FAYNE
NYI,M.MOULSON,M.STREIT,J.TAVARES
N.J,T.ZAJAC,Z.PARISE,P.ELIAS
N.J,I.KOVALCHUK,Z.PARISE,
TOR,T.BOZAK,M.FRATTIN,P.KESSEL
TOR,T.BOZAK,P.KESSEL,L.SCHENN
TOR,M.FRATTIN,T.BOZAK,P.KESSEL
BUF,T.ENNIS,A.SULZER,M.FOLIGNO
BUF,A.SULZER,,
TOR,C.MACARTHUR,J.CRABB,
BUF,D.ROY,C.HODGSON,J.POMINVILLE
TOR,J.GARDINER,T.CONNOLLY,J.COLBORNE
BUF,A.SULZER,T.VANEK,B.MCNABB
BUF,J.LEOPOLD,T.ENNIS,M.FOLIGNO
BUF,D.ROY,T.VANEK,J.POMINVILLE
L.A,S.VOYNOV,A.KOPITAR,B.RICHARDSON
L.A,D.KING,M.RICHARDS,
WSH,A.SEMIN,M.PERREAULT,
T.B,T.PURCELL,S.STAMKOS,M.ST LOUIS
T.B,V.HEDMAN,N.THOMPSON,T.PYATT
WSH,J.CHIMERA,A.SEMIN,
T.B,S.STAMKOS,B.CLARK,B.LEE
T.B,S.STAMKOS,N.THOMPSON,E.BREWER
NYR,M.GABORIK,,
BOS,D.SEIDENBERG,Z.CHARA,B.MARCHAND
BOS,P.BERGERON,T.SEGUIN,
MIN,D.SETOGUCHI,D.HEATLEY,M.SCANDELLA
CHI,P.SHARP,N.LEDDY,M.KRUGER
MIN,D.HEATLEY,M.KOIVU,D.SETOGUCHI
CHI,V.STALBERG,B.SEABROOK,N.HJALMARSSON
MIN,C.STONER,D.SETOGUCHI,M.KOIVU
MIN,K.BRODZIAK,T.GILBERT,S.VEILLEUX
CHI,P.KANE,M.HOSSA,N.LEDDY
CHI,P.KANE,A.SHAW,
EDM,T.HARTIKAINEN,J.EBERLE,
EDM,T.HARTIKAINEN,R.WHITNEY,R.NUGENT-HOPKINS
ANA,T.SELANNE,N.HAGMAN,S.KOIVU
FLA,T.FLEISCHMANN,K.VERSTEEG,S.WEISS
DET,J.HUDLER,V.FILPPULA,J.KINDL
NYI,M.STREIT,J.TAVARES,M.MOULSON
OTT,K.TURRIS,M.MICHALEK,S.GONCHAR
OTT,S.GONCHAR,M.MICHALEK,K.TURRIS
OTT,M.MICHALEK,K.TURRIS,B.BUTLER
OTT,N.FOLIGNO,J.WINCHESTER,C.GREENING
OTT,K.TURRIS,C.NEIL,N.FOLIGNO
PIT,S.SULLIVAN,S.CROSBY,P.DUPUIS
PIT,J.NEAL,E.MALKIN,C.KUNITZ
PHI,C.GIROUX,J.JAGR,S.HARTNELL
PHI,M.TALBOT,Z.RINALDO,S.COUTURIER
PHI,W.SIMMONDS,J.VORACEK,C.GIROUX
PHI,J.VORACEK,E.WELLWOOD,B.COBURN
PHI,M.BOURDON,C.GIROUX,
PIT,S.SULLIVAN,P.DUPUIS,Z.MICHALEK
PHI,J.VORACEK,M.CARLE,M.TALBOT
PIT,C.KUNITZ,E.MALKIN,S.CROSBY
S.J,J.PAVELSKI,J.THORNTON,P.MARLEAU
S.J,J.DEMERS,M.HAVLAT,R.CLOWE
S.J,J.PAVELSKI,M.VLASIC,J.THORNTON
VAN,M.LAPIERRE,H.SEDIN,A.EDLER
CGY,O.JOKINEN,J.IGINLA,
CGY,M.CAMMALLERI,D.MOSS,C.BUTLER
VAN,M.GRAGNANI,A.BURROWS,H.SEDIN
VAN,A.EBBETT,S.SALO,A.EDLER
MIN,D.POWE,N.PROSSER,J.FALK
L.A,B.RICHARDSON,D.BROWN,A.KOPITAR
MIN,N.JOHNSON,J.ZUCKER,E.CHRISTENSEN
L.A,D.BROWN,M.RICHARDS,A.KOPITAR
L.A,B.RICHARDSON,A.KOPITAR,D.BROWN
MIN,E.CHRISTENSEN,J.ZUCKER,J.FALK
CHI,P.SHARP,A.SHAW,N.LEDDY
CHI,D.BOLLAND,M.HOSSA,P.KANE
CHI,P.KANE,N.HJALMARSSON,B.SEABROOK
CHI,V.STALBERG,M.KRUGER,
NSH,M.ERAT,R.SUTER,M.FISHER
NSH,S.WEBER,R.SUTER,A.KOSTITSYN
NSH,A.RADULOV,D.LEGWAND,K.KLEIN
NSH,S.WEBER,R.SUTER,D.LEGWAND
CHI,B.SEABROOK,A.SHAW,B.BICKELL
CBJ,J.BOLL,D.BOYCE,A.JOHNSON
STL,D.BACKES,K.SHATTENKIRK,A.STEEN
CBJ,R.UMBERGER,,
CBJ,R.UMBERGER,C.ATKINSON,R.NASH
STL,D.PERRON,A.MCDONALD,A.PIETRANGELO
CBJ,D.DORSETT,R.NASH,J.JOHNSON
CBJ,V.PROSPAL,C.ATKINSON,
T.B,R.MALONE,,
WPG,A.MIETTINEN,E.KANE,M.STUART
WPG,K.WELLWOOD,D.BYFUGLIEN,T.STAPLETON
T.B,R.MALONE,T.PURCELL,V.HEDMAN
T.B,S.STAMKOS,B.LEE,
N.J,D.CLARKSON,P.ELIAS,I.KOVALCHUK
N.J,I.KOVALCHUK,P.SYKORA,D.ZUBRUS
N.J,R.CARTER,S.BERNIER,J.JOSEFSON
N.J,P.SYKORA,P.ELIAS,
N.J,Z.PARISE,I.KOVALCHUK,T.ZAJAC
WSH,M.PERREAULT,A.SEMIN,K.ALZNER
WSH,J.BEAGLE,M.HENDRICKS,M.KNUBLE
MTL,E.COLE,M.PACIORETTY,
MTL,T.PLEKANEC,A.MARKOV,F.ST-DENIS
TOR,J.CRABB,,
BUF,T.ENNIS,D.STAFFORD,J.LEOPOLD
TOR,P.KESSEL,T.BOZAK,J.GARDINER
TOR,J.LILES,C.MACARTHUR,J.CRABB
BUF,V.LEINO,J.POMINVILLE,A.SULZER
TOR,M.FRATTIN,C.MACARTHUR,J.LILES
BUF,D.STAFFORD,M.FOLIGNO,T.ENNIS
PHX,O.EKMAN-LARSSON,M.BOEDKER,M.ROZSIVAL
PHX,A.VERMETTE,D.MORRIS,K.YANDLE
PHX,R.VRBATA,R.WHITNEY,S.DOAN
PHX,R.WHITNEY,R.VRBATA,M.HANZAL
OTT,J.SPEZZA,D.ALFREDSSON,M.CARKNER
OTT,D.ALFREDSSON,E.KARLSSON,
OTT,C.NEIL,R.KLINKHAMMER,
PHI,W.SIMMONDS,B.SCHENN,D.BRIERE
PHI,S.COUTURIER,M.TALBOT,N.GROSSMANN
PHI,B.COBURN,D.BRIERE,E.WELLWOOD
BOS,D.KREJCI,M.LUCIC,A.FERENCE
NYI,K.OKPOSO,F.NIELSEN,T.HAMONIC
BOS,C.KELLY,,
NYI,P.PARENTEAU,J.TAVARES,M.MOULSON
BOS,B.MARCHAND,T.SEGUIN,Z.CHARA
BOS,T.SEGUIN,P.BERGERON,B.MARCHAND
NYI,P.PARENTEAU,M.MOULSON,J.TAVARES
BOS,P.BERGERON,T.SEGUIN,B.MARCHAND
BOS,D.KREJCI,M.LUCIC,Z.CHARA
L.A,A.KOPITAR,D.KING,D.BROWN
EDM,J.EBERLE,J.PETRY,R.NUGENT-HOPKINS
L.A,M.RICHARDS,W.MITCHELL,M.GREENE
L.A,D.DOUGHTY,J.WILLIAMS,A.KOPITAR
L.A,A.MARTINEZ,M.GREENE,D.KING
NSH,G.BOURQUE,J.TOOTOO,H.GILL
NSH,F.BOUILLON,A.RADULOV,
NSH,A.RADULOV,A.KOSTITSYN,P.RINNE
DET,J.HUDLER,H.ZETTERBERG,J.ERICSSON
NSH,S.WEBER,D.LEGWAND,
PIT,E.MALKIN,S.SULLIVAN,S.CROSBY
BUF,J.LEOPOLD,J.POMINVILLE,V.LEINO
PIT,S.CROSBY,S.SULLIVAN,P.DUPUIS
BUF,T.ENNIS,A.SULZER,M.WEBER
PIT,J.NEAL,S.CROSBY,E.MALKIN
PIT,S.SULLIVAN,P.DUPUIS,S.CROSBY
BUF,T.VANEK,,
PIT,J.STAAL,B.ORPIK,
NYR,M.GABORIK,B.RICHARDS,C.HAGELIN
NYR,B.RICHARDS,D.STEPAN,M.DEL ZOTTO
NYR,M.DEL ZOTTO,D.STEPAN,
NYR,M.DEL ZOTTO,M.GABORIK,B.RICHARDS
MTL,R.BOURQUE,T.PLEKANEC,C.CAMPOLI
VAN,C.HIGGINS,J.HANSEN,
DAL,S.OTT,J.BENN,
VAN,S.SALO,H.SEDIN,R.KESLER
VAN,A.ALBERTS,H.SEDIN,M.LAPIERRE
VAN,A.BURROWS,H.SEDIN,M.LAPIERRE
VAN,M.LAPIERRE,M.GRAGNANI,Z.KASSIAN
DAL,J.DOWELL,T.VINCOUR,P.LARSEN
COL,M.OLVER,,
COL,D.JONES,E.JOHNSON,G.LANDESKOG
COL,M.HEJDUK,G.LANDESKOG,E.JOHNSON
CGY,J.IGINLA,O.JOKINEN,C.GLENCROSS
COL,P.MUELLER,S.OBRIEN,J.MCCLEMENT
CBJ,R.UMBERGER,D.BRASSARD,C.ATKINSON
CBJ,N.NIKITIN,M.LETESTU,V.PROSPAL
CBJ,N.NIKITIN,D.DORSETT,R.JOHANSEN
FLA,T.KOPECKY,K.VERSTEEG,D.KULIKOV
CBJ,R.UMBERGER,R.NASH,N.NIKITIN
WPG,N.ANTROPOV,K.WELLWOOD,E.KANE
CAR,D.JOSLIN,J.SKINNER,
CAR,E.STAAL,,
CAR,B.SUTTER,P.DWYER,D.BOWMAN
WPG,J.SLATER,S.MACHACEK,Z.BOGOSIAN
WPG,K.WELLWOOD,A.MIETTINEN,Z.BOGOSIAN
WPG,A.LADD,Z.BOGOSIAN,
CHI,B.BICKELL,D.BOLLAND,N.LEDDY
STL,A.STEEN,K.RUSSELL,K.HUSKINS
CHI,A.BRUNETTE,P.KANE,M.HOSSA
CHI,P.SHARP,V.STALBERG,
STL,J.ARNOTT,,
STL,D.PERRON,K.RUSSELL,C.STEWART
PHX,R.VRBATA,R.WHITNEY,M.HANZAL
PHX,R.VRBATA,R.WHITNEY,O.EKMAN-LARSSON
FLA,S.UPSHALL,T.FLEISCHMANN,B.CAMPBELL
MIN,K.BRODZIAK,C.CLUTTERBUCK,
FLA,T.FLEISCHMANN,J.GARRISON,B.CAMPBELL
MIN,E.CHRISTENSEN,T.GILBERT,M.KOIVU
MIN,M.KOIVU,T.GILBERT,C.STONER
NYI,M.REASONER,M.STREIT,J.BAILEY
PIT,P.DUPUIS,C.ADAMS,P.MARTIN
NYI,K.OKPOSO,J.BAILEY,T.HAMONIC
NYI,J.BAILEY,J.PANDOLFO,
NYI,K.OKPOSO,J.BAILEY,F.NIELSEN
PIT,J.STAAL,Z.MICHALEK,P.MARTIN
PIT,E.MALKIN,T.KENNEDY,M.COOKE
NYI,J.BAILEY,,
T.B,R.MALONE,S.STAMKOS,V.HEDMAN
N.J,D.ZUBRUS,P.ELIAS,
T.B,R.MALONE,E.BREWER,
N.J,J.JOSEFSON,R.CARTER,D.CLARKSON
T.B,R.MALONE,V.HEDMAN,
N.J,I.KOVALCHUK,A.HENRIQUE,Z.PARISE
N.J,M.ZIDLICKY,I.KOVALCHUK,P.ELIAS
N.J,A.PONIKAROVSKY,B.SALVADOR,
N.J,D.CLARKSON,A.PONIKAROVSKY,A.HENRIQUE
T.B,T.SMITH,T.WALLACE,K.AULIE
PHI,B.SCHENN,W.SIMMONDS,D.BRIERE
PHI,B.SCHENN,D.BRIERE,J.JAGR
TOR,M.GRABOVSKI,T.CONNOLLY,J.CRABB
PHI,W.SIMMONDS,D.BRIERE,B.COBURN
PHI,M.READ,M.TALBOT,E.GUSTAFSSON
PHI,E.WELLWOOD,M.READ,J.VORACEK
PHI,J.VORACEK,J.JAGR,P.KUBINA
PHI,W.SIMMONDS,D.BRIERE,J.JAGR
WSH,D.WIDEMAN,M.JOHANSSON,A.OVECHKIN
WSH,M.JOHANSSON,A.OVECHKIN,
BOS,D.KREJCI,Z.CHARA,M.LUCIC
BOS,A.FERENCE,D.KREJCI,
DAL,M.RYDER,M.RIBEIRO,S.ROBIDAS
DAL,M.RIBEIRO,L.ERIKSSON,M.RYDER
DAL,M.RYDER,M.RIBEIRO,L.ERIKSSON
EDM,A.HEMSKY,R.SMYTH,C.POTTER
L.A,W.MITCHELL,A.KOPITAR,S.VOYNOV
L.A,D.BROWN,A.KOPITAR,D.DOUGHTY
L.A,J.WILLIAMS,,
CBJ,V.PROSPAL,R.NASH,
CBJ,D.DORSETT,R.JOHANSEN,
DET,H.ZETTERBERG,P.DATSYUK,T.HOLMSTROM
CBJ,D.BRASSARD,N.NIKITIN,R.UMBERGER
CBJ,R.UMBERGER,C.ATKINSON,N.NIKITIN
